"Step","stage2-uvit-20260526-011258 - epoch","stage2-uvit-20260526-011258 - epoch__MIN","stage2-uvit-20260526-011258 - epoch__MAX"
"1","11","11","11"
"17","11","11","11"
"18","11","11","11"
"22","11","11","11"
"26","11","11","11"
"34","11","11","11"
"36","11","11","11"
"49","11","11","11"
"59","11","11","11"
"60","11","11","11"
"64","11","11","11"
"67","11","11","11"
"71","11","11","11"
"73","11","11","11"
"77","11","11","11"
"78","11","11","11"
"88","11","11","11"
"92","11","11","11"
"95","11","11","11"
"97","11","11","11"
"103","11","11","11"
"106","11","11","11"
"119","11","11","11"
"126","11","11","11"
"140","11","11","11"
"143","11","11","11"
"144","11","11","11"
"146","11","11","11"
"149","11","11","11"
"151","11","11","11"
"153","11","11","11"
"154","11","11","11"
"155","11","11","11"
"157","11","11","11"
"160","11","11","11"
"163","11","11","11"
"164","11","11","11"
"167","11","11","11"
"171","11","11","11"
"172","11","11","11"
"174","11","11","11"
"175","11","11","11"
"176","11","11","11"
"185","11","11","11"
"193","11","11","11"
"195","11","11","11"
"212","11","11","11"
"222","11","11","11"
"225","11","11","11"
"230","11","11","11"
"231","11","11","11"
"236","11","11","11"
"245","11","11","11"
"247","11","11","11"
"248","11","11","11"
"250","11","11","11"
"259","11","11","11"
"266","11","11","11"
"270","11","11","11"
"274","11","11","11"
"277","11","11","11"
"278","11","11","11"
"281","11","11","11"
"284","11","11","11"
"290","11","11","11"
"292","11","11","11"
"295","11","11","11"
"301","11","11","11"
"304","11","11","11"
"305","11","11","11"
"309","11","11","11"
"314","11","11","11"
"317","11","11","11"
"318","11","11","11"
"332","11","11","11"
"337","11","11","11"
"353","11","11","11"
"361","11","11","11"
"365","11","11","11"
"368","11","11","11"
"372","11","11","11"
"378","11","11","11"
"382","11","11","11"
"389","11","11","11"
"392","11","11","11"
"397","11","11","11"
"405","11","11","11"
"414","11","11","11"
"425","11","11","11"
"430","11","11","11"
"435","11","11","11"
"441","11","11","11"
"447","11","11","11"
"455","11","11","11"
"458","11","11","11"
"460","11","11","11"
"461","11","11","11"
"463","11","11","11"
"465","11","11","11"
"468","11","11","11"
"472","11","11","11"
"475","11","11","11"
"477","11","11","11"
"482","11","11","11"
"483","11","11","11"
"490","11","11","11"
"497","11","11","11"
"503","11","11","11"
"506","11","11","11"
"511","11","11","11"
"515","11","11","11"
"517","11","11","11"
"519","11","11","11"
"526","11","11","11"
"527","11","11","11"
"532","11","11","11"
"534","11","11","11"
"545","11","11","11"
"549","11","11","11"
"550","11","11","11"
"552","11","11","11"
"568","11","11","11"
"575","11","11","11"
"578","11","11","11"
"582","11","11","11"
"583","11","11","11"
"585","11","11","11"
"586","11","11","11"
"589","11","11","11"
"591","11","11","11"
"595","11","11","11"
"597","11","11","11"
"606","11","11","11"
"613","11","11","11"
"614","11","11","11"
"635","11","11","11"
"644","11","11","11"
"646","11","11","11"
"647","11","11","11"
"648","11","11","11"
"649","11","11","11"
"651","11","11","11"
"652","11","11","11"
"653","11","11","11"
"663","11","11","11"
"676","11","11","11"
"686","11","11","11"
"702","11","11","11"
"703","11","11","11"
"715","11","11","11"
"722","11","11","11"
"724","11","11","11"
"726","11","11","11"
"731","11","11","11"
"752","11","11","11"
"755","11","11","11"
"761","11","11","11"
"763","11","11","11"
"774","11","11","11"
"776","11","11","11"
"789","11","11","11"
"802","11","11","11"
"805","11","11","11"
"807","11","11","11"
"813","11","11","11"
"827","11","11","11"
"838","11","11","11"
"839","11","11","11"
"840","11","11","11"
"855","11","11","11"
"876","11","11","11"
"878","11","11","11"
"879","11","11","11"
"882","11","11","11"
"883","11","11","11"
"885","11","11","11"
"886","11","11","11"
"892","11","11","11"
"896","11","11","11"
"904","11","11","11"
"914","11","11","11"
"920","11","11","11"
"921","11","11","11"
"922","11","11","11"
"926","11","11","11"
"939","11","11","11"
"940","11","11","11"
"946","11","11","11"
"948","11","11","11"
"949","11","11","11"
"950","11","11","11"
"955","11","11","11"
"962","11","11","11"
"963","11","11","11"
"965","11","11","11"
